id,name,ownerid,age,livesleft,description
8452,Chloe,605057,21,8,beautiful
8453,Loki,712368,14,5,asshole
8454,Sugar,480985,19,9,cute
8455,Jack,678525,17,4,cute
8456,Sassy,553240,10,5,fluffy
8457,Misty,732696,17,4,fluffy
8458,Scooter,606264,8,1,work of art
8459,Ginger,555632,10,4,fluffy
8460,Harley,700914,19,9,work of art
8461,Smokey,721779,8,4,cute
8462,Gracie,648442,1,2,cute
8463,Chloe,623184,15,4,lovely
8464,Max,643208,7,4,work of art
8465,Garfield,563486,17,6,work of art
8466,Cali,488680,19,6,fat
8467,Daisy,700181,15,5,lovely
8468,Mimi,603060,22,7,sweetheart
8469,Mia,710037,17,9,asshole
8470,Felix,664923,20,9,lovely
8471,Sam,482391,3,8,the best
8472,Mia,635988,12,4,asshole
8473,Sammy,630062,2,6,asshole
8474,Midnight,521499,13,5,fluffy
8475,Abby,577782,5,7,beautiful
8476,Angel,564539,3,9,asshole
8477,Bella,597174,17,5,beautiful
8478,Cleo,543479,25,7,amazing
8479,Mia,734508,13,5,sweetheart
8480,Pumpkin,502179,24,5,the best
8481,Rascal,620441,25,7,the best
8482,Cuddles,575326,16,3,fat
8483,Smokey,606038,17,5,sweetheart
8484,Trouble,587116,17,8,lovely
8485,Princess,706926,8,1,fluffy
8486,Precious,580495,12,6,the best
8487,Toby,532829,21,2,beautiful
8488,Misty,723771,2,4,asshole
8489,Bubba,642515,7,2,sweetheart
8490,Samantha,711683,23,4,sweetheart
8491,Mia,508477,2,3,work of art
8492,Oliver,572083,9,5,asshole
8493,Simon,576027,6,3,fat
8494,Chloe,742919,12,4,beautiful
8495,Tigger,634942,16,5,the best
8496,Garfield,656716,8,7,asshole
8497,Rocky,678323,23,6,lovely
8498,Socks,544901,21,4,asshole
8499,Cleo,663796,17,9,work of art
8500,Jasper,673866,4,2,lovely
8501,Lucy,545895,13,1,work of art
8502,Garfield,476202,4,2,sweetheart
8503,Smokey,527294,4,2,the best
8504,Shadow,531183,16,9,lovely
8505,Max,603867,7,4,lovely
8506,Jasper,490499,17,1,fat
8507,Cleo,686818,24,6,asshole
8508,Toby,558180,20,8,the best
8509,Snowball,698349,22,1,sweetheart
8510,Jasmine,580119,18,7,sweetheart
8511,Spooky,571642,1,6,fat
8512,Maggie,575463,11,1,beautiful
8513,Rascal,670520,23,1,asshole
8514,Gizmo,679177,23,9,cute
8515,Leo,487349,1,3,fat
8516,Daisy,668220,11,3,fluffy
8517,Baby,464487,23,8,the best
8518,Shadow,740440,18,4,lovely
8519,Tinkerbell,737103,4,8,work of art
8520,Midnight,573672,18,1,the best
8521,Harley,674955,15,6,the best
8522,Dusty,577037,25,8,lovely
8523,Sassy,681034,22,8,the best
8524,Zoey,625269,23,8,lovely
8525,Lucy,701318,5,2,lovely
8526,Lilly,679268,24,4,work of art
8527,Chester,505382,16,9,sweetheart
8528,Sassy,568348,6,5,beautiful
8529,Garfield,568889,23,1,sweetheart
8530,Charlie,486526,10,3,fluffy
8531,Sasha,509427,14,1,amazing
8532,Simba,709995,8,7,beautiful
8533,Sammy,647463,18,6,fat
8534,Daisy,694225,11,9,amazing
8535,Zoe,691688,12,4,beautiful
8536,Socks,554496,21,6,amazing
8537,Lilly,651827,14,1,sweetheart
8538,Whiskers,722041,6,8,the best
8539,Pepper,602031,7,5,beautiful
8540,Cali,641895,12,3,fat
8541,Mia,565321,5,8,amazing
8542,Tinkerbell,531420,19,7,fat
8543,Snowball,465993,17,6,amazing
8544,Callie,663977,13,2,sweetheart
8545,Cookie,612767,14,9,sweetheart
8546,Tigger,579795,19,9,asshole
8547,Cleo,726506,18,4,the best
8548,Snickers,528138,7,5,fluffy
8549,Sheba,488426,23,2,sweetheart
8550,Oscar,575818,20,5,amazing
8551,Peanut,535307,4,8,amazing
8552,Sassy,696122,6,1,amazing
8553,Lucy,573605,23,5,amazing
8554,Bella,525572,16,4,asshole
8555,Precious,703914,14,4,asshole
8556,Bob,622357,1,5,beautiful
8557,Chester,745072,5,9,fluffy
8558,Scooter,702168,21,6,cute
8559,Lola,545361,25,6,work of art
8560,Lucy,649742,12,1,sweetheart
8561,Jasper,555659,7,5,fluffy
8562,Samantha,596747,11,4,asshole
8563,Whiskers,635910,12,2,fluffy
8564,Pepper,589094,6,6,asshole
8565,Missy,733877,11,2,sweetheart
8566,Callie,695657,25,8,the best
8567,Sugar,605249,1,1,work of art
8568,Zoey,537880,21,1,cute
8569,Nala,718684,17,7,fluffy
8570,Midnight,708232,11,2,lovely
8571,Bob,615163,8,1,fluffy
8572,Charlie,487416,3,7,asshole
8573,Trouble,504708,15,1,cute
8574,Precious,542432,4,2,fluffy
8575,Lucy,465228,25,3,fat
8576,Trouble,720428,2,5,work of art
8577,Simba,517313,15,7,sweetheart
8578,Shadow,587172,20,5,cute
8579,Tinkerbell,526571,21,3,amazing
8580,Jasmine,734882,15,7,sweetheart
8581,Buster,722220,15,3,lovely
8582,Maggie,715867,6,9,beautiful
8583,Daisy,724247,3,8,fluffy
8584,Chester,712391,21,2,work of art
8585,Sheba,605431,7,9,lovely
8586,Pumpkin,642460,23,6,fluffy
8587,Midnight,556887,18,5,amazing
8588,Samantha,720034,21,4,beautiful
8589,Oliver,564212,9,1,the best
8590,Cleo,628816,4,1,beautiful
8591,Leo,599853,25,6,amazing
8592,Charlie,654031,24,3,fluffy
8593,Felix,678437,24,2,work of art
8594,Luna,638361,22,1,fluffy
8595,Midnight,587751,17,4,beautiful
8596,Mia,746409,19,8,cute
8597,Lucy,482627,6,8,fat
8598,Chloe,745543,10,6,fluffy
8599,Lucy,739776,17,1,fluffy
8600,Cookie,533816,17,5,fat
8601,Zoe,562104,2,3,beautiful
8602,Mia,644283,3,3,asshole
8603,Lily,595318,20,6,work of art
8604,Snuggles,740341,22,2,asshole
8605,Charlie,608390,23,2,sweetheart
8606,Lola,682963,16,7,work of art
8607,Bella,558804,13,1,amazing
8608,Socks,597126,1,4,work of art
8609,Max,679416,24,4,cute
8610,Harley,551961,25,2,the best
8611,Oliver,631468,10,8,fluffy
8612,Gracie,583420,6,5,beautiful
8613,Kitty,625517,25,5,work of art
8614,Sammy,688678,4,7,fat
8615,Tiger,509189,18,3,beautiful
8616,Boo,685896,2,2,work of art
8617,Precious,588883,20,3,asshole
8618,Oreo,599242,6,7,cute
8619,Felix,676928,16,5,amazing
8620,Ginger,588803,1,5,work of art
8621,Princess,675845,14,5,work of art
8622,Felix,736257,10,4,fat
8623,Miss kitty,546015,3,7,beautiful
8624,Oreo,516104,10,6,fat
8625,Sasha,608852,17,9,work of art
8626,Lola,658855,11,4,cute
8627,Callie,620413,17,1,work of art
8628,Oscar,577356,23,5,cute
8629,Sheba,692287,6,2,sweetheart
8630,Pumpkin,557121,8,5,sweetheart
8631,Precious,536588,2,5,asshole
8632,Willow,581871,8,9,asshole
8633,Cuddles,551582,2,5,sweetheart
8634,Bandit,639806,17,7,amazing
8635,Jack,538806,17,9,fluffy
8636,Bubba,727857,19,5,fluffy
8637,Casper,529562,11,4,cute
8638,Salem,739398,9,2,beautiful
8639,Mittens,518582,19,9,beautiful
8640,Simon,599589,12,1,beautiful
8641,Milo,696689,13,3,beautiful
8642,Nala,466333,21,5,the best
8643,Loki,484624,25,5,lovely
8644,Maggie,512764,21,7,fluffy
8645,Tigger,720014,21,1,fluffy
8646,Daisy,663189,22,6,the best
8647,Snickers,605215,20,8,amazing
8648,Zoe,714993,1,3,fluffy
8649,Milo,681738,8,9,the best
8650,Loki,540610,8,8,cute
8651,Boots,550814,18,8,sweetheart
8652,Lucky,538600,14,4,beautiful
8653,Maggie,506791,2,8,the best
8654,Oliver,529123,16,3,the best
8655,Rascal,616660,8,3,sweetheart
8656,Buster,699200,13,7,work of art
8657,Max,737633,2,2,asshole
8658,Dusty,585606,9,9,work of art
8659,Bailey,472742,17,1,work of art
8660,Leo,590881,24,6,amazing
8661,Molly,500431,4,5,beautiful
8662,Loki,706418,3,5,sweetheart
8663,Toby,649313,14,5,work of art
8664,Molly,620225,21,4,amazing
8665,Gracie,516606,9,6,cute
8666,Loki,682499,21,8,beautiful
8667,Princess,681038,1,1,sweetheart
8668,Rascal,507247,2,1,lovely
8669,Lucy,562155,2,1,the best
8670,Molly,473346,7,1,cute
8671,Charlie,590199,11,7,beautiful
8672,Gracie,729295,3,7,cute
8673,Shadow,545383,24,9,cute
8674,Chloe,616215,17,8,sweetheart
8675,Samantha,547033,12,1,work of art
8676,Smokey,554973,24,8,amazing
8677,Ginger,502145,17,8,fluffy
8678,Sasha,566567,21,5,asshole
8679,Maggie,585315,25,5,fat
8680,Loki,465735,1,4,amazing
8681,Bandit,583944,10,4,sweetheart
8682,Peanut,554296,14,4,sweetheart
8683,Ginger,487336,13,5,asshole
8684,Sheba,543924,20,3,work of art
8685,Trouble,541995,12,6,amazing
8686,Gizmo,713487,18,3,beautiful
8687,Kiki,502850,4,1,beautiful
8688,Ginger,609918,24,8,beautiful
8689,Garfield,614506,3,4,sweetheart
8690,Lucky,746900,9,7,lovely
8691,Shadow,611493,16,2,fat
8692,Sadie,516201,15,8,cute
8693,Lola,576812,4,2,beautiful
8694,Mia,734850,14,9,work of art
8695,Sheba,563985,1,4,work of art
8696,Ginger,669582,10,1,sweetheart
8697,Felix,690165,8,7,sweetheart
8698,Buster,483792,6,3,cute
8699,Sasha,730032,13,3,lovely
8700,Sugar,717059,12,5,fluffy
8701,Snuggles,620817,22,5,fat
8702,Annie,664409,22,9,work of art
8703,Baby,659524,4,9,beautiful
8704,Bailey,514782,11,1,the best
8705,Ginger,616555,20,1,work of art
8706,Charlie,578333,24,4,amazing
8707,Callie,548502,21,8,asshole
8708,Pumpkin,666478,4,1,fluffy
8709,Midnight,741370,14,2,beautiful
8710,Oliver,595577,1,6,cute
8711,Missy,599303,1,7,amazing
8712,Garfield,473816,16,4,work of art
8713,Samantha,743065,24,3,amazing
8714,Cuddles,599075,20,9,cute
8715,Ginger,727350,3,5,fat
8716,Chester,723142,20,1,amazing
8717,Fluffy,692904,16,4,work of art
8718,Salem,554612,10,4,sweetheart
8719,Lilly,541201,6,7,cute
8720,Garfield,620908,21,3,work of art
8721,Molly,575331,1,8,lovely
8722,Abby,477058,18,6,fluffy
8723,Toby,503867,19,5,amazing
8724,Precious,620797,13,3,beautiful
8725,Lucky,579153,4,8,work of art
8726,Kiki,476348,3,6,amazing
8727,Tigger,599184,14,7,fluffy
8728,Salem,491392,20,5,fluffy
8729,Sheba,533648,18,3,work of art
8730,Kiki,723913,1,6,the best
8731,Daisy,686948,21,5,the best
8732,Jack,694384,3,4,beautiful
8733,Salem,595216,9,5,work of art
8734,Nala,633252,21,8,amazing
8735,Lola,603772,23,8,amazing
8736,Lola,651569,20,6,the best
8737,Scooter,609527,23,8,work of art
8738,Mia,489844,5,3,lovely
8739,Whiskers,640383,22,5,amazing
8740,Oscar,698720,24,7,fat
8741,Lucy,512252,11,6,work of art
8742,Zoe,708483,24,9,cute
8743,Sheba,532903,14,2,lovely
8744,Zoe,567340,18,7,the best
8745,Zoe,745413,9,4,the best
8746,Pumpkin,466537,7,5,lovely
8747,Nala,566329,2,5,fat
8748,Princess,736198,5,3,lovely
8749,Leo,540978,7,7,fat
8750,Lily,488955,8,6,amazing
8751,Oliver,635515,11,3,beautiful
8752,Lucky,479896,25,3,fat
8753,Simba,631668,22,9,amazing
8754,Lola,678329,18,2,cute
8755,Sam,682030,12,8,fluffy
8756,Coco,702315,19,6,work of art
8757,Shadow,536784,20,2,fluffy
8758,Cali,649927,15,3,cute
8759,Sophie,562191,18,9,beautiful
8760,Kiki,694263,5,3,cute
8761,Snickers,696668,20,8,sweetheart
8762,Sophie,615765,7,2,lovely
8763,George,622024,15,1,asshole
8764,Lilly,657026,8,8,fluffy
8765,Angel,649507,21,1,cute
8766,Jasper,671446,10,7,fluffy
8767,Cookie,629278,10,3,sweetheart
8768,Shadow,614667,25,3,cute
8769,Luna,721580,16,8,amazing
8770,Cleo,524265,19,3,the best
8771,Smokey,689017,25,5,sweetheart
8772,Snowball,584970,2,9,work of art
8773,Loki,590277,4,9,fat
8774,Abby,635003,8,4,sweetheart
8775,Jasper,611744,1,5,work of art
8776,Callie,527387,6,6,lovely
8777,Sugar,503305,10,5,fat
8778,Missy,483974,16,3,cute
8779,Luna,571656,17,4,beautiful
8780,Bear,490856,9,8,amazing
8781,Rascal,514407,19,9,beautiful
8782,Toby,709756,3,7,asshole
8783,Felix,738163,17,8,cute
8784,Spooky,705803,11,4,fluffy
8785,Bella,708334,21,2,work of art
8786,Luna,665792,23,4,amazing
8787,Simba,633105,10,9,the best
8788,Loki,677566,10,7,beautiful
8789,Bubba,688337,10,1,fluffy
8790,Snowball,735670,25,1,fat
8791,Salem,565136,22,7,lovely
8792,Snickers,568838,23,6,fat
8793,Rocky,579815,24,4,sweetheart
8794,Oscar,650822,2,1,sweetheart
8795,Cleo,741117,6,9,work of art
8796,Precious,742020,8,1,sweetheart
8797,Smokey,626915,22,8,fluffy
8798,Oscar,471826,6,7,cute
8799,Boo,532128,18,5,fat
8800,Bob,589698,7,5,beautiful
8801,Luna,699303,18,9,fat
8802,Cookie,678742,18,7,amazing
8803,Felix,714455,18,3,fluffy
8804,Bailey,747610,7,2,fat
8805,Jasmine,508328,25,5,amazing
8806,Salem,517946,19,7,cute
8807,Snuggles,727829,12,4,the best
8808,Smokey,709216,15,6,amazing
8809,Smokey,694156,14,7,fat
8810,Chloe,708556,5,9,work of art
8811,Muffin,587741,23,6,cute
8812,Sassy,747263,9,6,amazing
8813,Sasha,470062,13,9,beautiful
8814,Cuddles,683494,4,9,work of art
8815,Missy,633030,22,8,fluffy
8816,Milo,528396,16,7,cute
8817,Bear,585350,2,7,fluffy
8818,Sasha,585458,7,8,beautiful
8819,Leo,731717,14,2,fat
8820,Midnight,500699,7,9,work of art
8821,Midnight,503409,2,3,fluffy
8822,Gizmo,548027,5,5,fat
8823,Midnight,665935,24,1,lovely
8824,Cookie,611879,10,8,fluffy
8825,Zoey,742327,5,3,fluffy
8826,Maggie,666370,22,8,lovely
8827,Luna,731299,17,6,work of art
8828,Chester,470814,14,7,the best
8829,Misty,743584,9,3,cute
8830,Jasper,608804,14,1,amazing
8831,Socks,654797,22,5,lovely
8832,Kitty,725184,6,1,cute
8833,Felix,654614,7,1,cute
8834,Baby,621339,11,9,fat
8835,Jasmine,666093,4,1,amazing
8836,Snuggles,723647,15,7,fat
8837,Simba,579743,12,4,asshole
8838,Angel,665808,15,8,amazing
8839,Milo,672614,3,5,work of art
8840,Jack,587776,5,7,fluffy
8841,Coco,612527,1,4,the best
8842,Zoey,534481,9,8,amazing
8843,Simon,695280,24,5,asshole
8844,Jasper,683447,22,2,lovely
8845,Baby,743055,24,4,work of art
8846,Sophie,631586,12,3,asshole
8847,Princess,657961,23,1,beautiful
8848,Muffin,596064,19,3,the best
8849,Zoey,580871,10,7,amazing
8850,Cleo,622611,20,6,asshole
8851,Tiger,471918,11,3,asshole
8852,Smokey,713814,5,1,sweetheart
8853,Buster,575977,25,9,fat
8854,Bandit,495509,7,4,sweetheart
8855,Mimi,723884,6,4,sweetheart
8856,Maggie,662768,1,7,lovely
8857,Cleo,508845,16,2,fat
8858,Luna,513428,16,9,fat
8859,Samantha,600797,10,2,fluffy
8860,Lucy,713277,4,4,fat
8861,Abby,485866,5,6,sweetheart
8862,Smokey,652978,5,8,work of art
8863,Misty,691262,5,8,the best
8864,Snickers,695435,11,5,asshole
8865,Tiger,696147,2,8,lovely
8866,Toby,517659,19,3,cute
8867,Gizmo,489915,23,8,fat
8868,Mittens,698673,2,2,amazing
8869,Bob,475406,25,4,beautiful
8870,Jack,517150,8,4,cute
8871,Sassy,498450,9,2,work of art
8872,Fluffy,546195,17,3,cute
8873,Lily,685820,5,3,fluffy
8874,Sam,652472,19,6,beautiful
8875,Nala,481036,19,8,sweetheart
8876,Bailey,740400,14,6,beautiful
8877,Mittens,565551,10,8,work of art
8878,Salem,483752,5,8,lovely
8879,Socks,692554,25,7,fat
8880,Oscar,546314,22,4,work of art
8881,Shadow,728369,23,4,amazing
8882,Rascal,727612,13,5,lovely
8883,Cali,542116,1,9,the best
8884,Abby,738752,6,7,beautiful
8885,Shadow,554950,20,5,fat
8886,Boots,625363,6,4,work of art
8887,Max,474423,24,2,sweetheart
8888,Snuggles,563387,16,4,work of art
8889,Fluffy,577543,8,7,work of art
8890,Cali,737800,25,1,lovely
8891,Trouble,623823,5,6,fat
8892,Cuddles,618319,22,9,cute
8893,Rascal,638335,18,9,cute
8894,Bella,653183,7,8,fat
8895,Lily,571494,5,7,fat
8896,Bella,541015,17,8,sweetheart
8897,Harley,481839,18,5,asshole
8898,Jasmine,716062,25,1,fluffy
8899,Bubba,499444,15,8,the best
8900,Cuddles,618968,14,9,sweetheart
8901,Fluffy,490014,15,5,the best
8902,Gracie,586363,10,9,beautiful
8903,Zoe,657061,18,2,asshole
8904,Lucky,644109,2,1,lovely
8905,Annie,698571,10,2,work of art
8906,Coco,488902,19,2,sweetheart
8907,Socks,719739,22,2,cute
8908,Muffin,676369,25,7,amazing
8909,Scooter,513881,9,5,amazing
8910,Lilly,606575,14,6,the best
8911,Buddy,565148,3,6,the best
8912,Jasper,569311,2,4,lovely
8913,Molly,477445,6,2,amazing
8914,Ginger,727688,22,8,fat
8915,Bandit,481572,10,6,sweetheart
8916,Snowball,528379,5,1,work of art
8917,Sassy,509790,24,3,the best
8918,Pepper,463618,17,3,lovely
8919,Scooter,636650,23,2,fluffy
8920,Dusty,732548,10,3,work of art
8921,Mia,503397,16,1,fat
8922,Max,699539,14,7,lovely
8923,Cookie,677814,18,2,work of art
8924,Sheba,536587,3,2,work of art
8925,Lilly,708351,5,3,sweetheart
8926,Samantha,745330,13,8,amazing
8927,Spooky,707545,14,6,fat
8928,Bubba,676545,21,5,asshole
8929,Bear,627462,12,3,lovely
8930,Milo,722789,14,4,asshole
8931,Snowball,682557,8,3,cute
8932,Tiger,514507,24,9,amazing
8933,Angel,635748,5,3,fat
8934,Coco,626437,23,9,sweetheart
8935,Samantha,557412,2,3,fat
8936,Chester,520809,7,4,asshole
8937,Baby,561774,16,1,cute
8938,Muffin,723053,13,5,cute
8939,Mimi,720806,17,5,lovely
8940,Sam,506967,8,6,work of art
8941,Oscar,593311,12,9,the best
8942,Willow,578158,12,2,amazing
8943,Sassy,604780,3,8,asshole
8944,Chester,575919,13,4,asshole
8945,Lucky,584309,10,9,work of art
8946,Maggie,702840,16,1,lovely
8947,Precious,616539,21,9,lovely
8948,Whiskers,747479,25,1,fat
8949,Toby,623610,20,9,sweetheart
8950,Mimi,537038,9,5,amazing
8951,Bear,577240,8,6,fluffy
8952,Missy,494671,25,1,asshole
8953,Precious,664457,18,2,amazing
8954,Pepper,498232,12,5,beautiful
8955,Toby,708279,24,5,sweetheart
8956,Socks,728837,25,8,amazing
8957,Daisy,598747,14,3,asshole
8958,Bob,569069,23,1,fluffy
8959,Jack,582151,11,1,sweetheart
8960,Samantha,643058,18,6,lovely
8961,Rascal,490709,9,3,beautiful
8962,Tinkerbell,475824,15,9,asshole
8963,Bandit,551953,17,9,fat
8964,Baby,564414,2,6,fluffy
8965,Chloe,489611,3,2,asshole
8966,Simon,711228,6,6,asshole
8967,Jasmine,573553,14,1,amazing
8968,Lilly,570813,2,7,the best
8969,Spooky,510460,4,7,fat
8970,Boo,468029,9,2,fat
8971,Rascal,510263,24,4,beautiful
8972,Pumpkin,733811,14,5,fat
8973,Lilly,625025,9,7,asshole
8974,Mia,698119,15,4,fluffy
8975,Garfield,682083,9,9,cute
8976,Kiki,475215,22,3,the best
8977,Daisy,689507,15,6,sweetheart
8978,Snuggles,686757,22,5,work of art
8979,Patches,508720,4,5,cute
8980,Socks,701121,8,2,asshole
8981,Leo,533857,19,2,the best
8982,Sassy,672239,10,8,amazing
8983,Coco,643168,1,3,the best
8984,Bear,526222,24,8,lovely
8985,Oliver,700086,11,6,asshole
8986,Samantha,542909,22,9,fluffy
8987,Socks,574005,17,6,amazing
8988,Bandit,600039,23,6,cute
8989,Lucy,488480,7,6,cute
8990,Angel,631453,24,9,work of art
8991,Chester,548212,14,4,beautiful
8992,Angel,658979,22,6,the best
8993,Midnight,745955,20,4,cute
8994,Mittens,590395,13,2,beautiful
8995,Princess,667592,7,9,beautiful
8996,Bubba,584467,17,1,fat
8997,Loki,565431,20,5,work of art
8998,Mimi,479641,19,6,sweetheart
8999,Lucy,493479,4,3,fluffy
9000,Leo,494266,3,9,asshole
9001,Callie,514771,21,2,asshole
9002,Lilly,521416,8,1,asshole
9003,Sophie,486344,24,9,fluffy
9004,Midnight,730941,19,7,cute
9005,Mittens,747125,4,7,cute
9006,Bella,591342,25,1,work of art
9007,Oliver,624925,13,7,fat
9008,Nala,505402,4,9,asshole
9009,Luna,658733,17,9,fluffy
9010,Bob,743016,5,1,sweetheart
9011,Bella,747112,24,6,work of art
9012,Max,524245,22,3,sweetheart
9013,Tiger,522361,15,6,cute
9014,Sasha,493369,19,7,cute
9015,Nala,569817,2,7,fat
9016,Snickers,575065,15,5,beautiful
9017,Salem,733772,16,6,fluffy
9018,Shadow,602703,25,4,work of art
9019,Cookie,552141,14,2,the best
9020,Lucky,733792,11,8,fluffy
9021,Oliver,651405,17,6,asshole
9022,Lola,615778,23,4,cute
9023,Sassy,484093,6,6,sweetheart
9024,Cuddles,550464,7,9,lovely
9025,Miss kitty,743078,8,9,the best
9026,Baby,710855,21,7,amazing
9027,Toby,672734,19,4,cute
9028,Sammy,627910,23,1,amazing
9029,Lily,541294,25,1,fat
9030,Tigger,554734,23,8,fat
9031,Harley,693399,1,2,lovely
9032,Bubba,735896,23,2,asshole
9033,Felix,558117,4,3,fat
9034,Maggie,485589,15,3,sweetheart
9035,Samantha,639863,22,1,fat
9036,Luna,493460,10,5,the best
9037,Leo,631204,22,3,fluffy
9038,Charlie,704052,20,3,asshole
9039,Nala,577526,8,7,lovely
9040,Buddy,518604,5,7,lovely
9041,Socks,712691,12,9,amazing
9042,Snowball,587972,8,5,beautiful
9043,Felix,693996,12,7,beautiful
9044,Miss kitty,670961,24,6,asshole
9045,Chester,541898,1,9,fat
9046,Tigger,485884,17,1,beautiful
9047,Precious,522791,7,8,fat
9048,Lucky,670739,4,9,amazing
9049,Daisy,700810,12,5,fat
9050,Max,597293,12,6,asshole
9051,Socks,488529,14,9,fat
9052,Bailey,683217,3,1,fluffy
9053,Annie,615481,23,9,amazing
9054,Mittens,637217,4,7,fat
9055,Jack,549954,8,8,sweetheart
9056,Rocky,581953,25,6,cute
9057,Dusty,727339,2,5,fat
9058,Lily,656787,1,7,fat
9059,Missy,617229,21,4,beautiful
9060,Socks,705579,19,7,lovely
9061,Jack,619838,4,2,asshole
9062,Mimi,546883,7,1,cute
9063,Sheba,613624,5,8,the best
9064,Charlie,520845,22,6,amazing
9065,Scooter,614357,24,9,sweetheart
9066,Bella,701286,23,2,sweetheart
9067,Scooter,591986,5,6,lovely
9068,Sam,508320,8,2,amazing
9069,Buster,654806,23,1,beautiful
9070,Felix,518111,21,8,beautiful
9071,Cookie,582996,1,6,fat
9072,Smokey,709970,10,7,fluffy
9073,Milo,592385,13,5,fluffy
9074,Snowball,737039,19,7,the best
9075,Bear,543826,14,3,lovely
9076,Muffin,540613,15,9,cute
9077,Maggie,630547,1,3,cute
9078,Lola,601350,4,8,sweetheart
9079,Mittens,630401,24,2,beautiful
9080,Sam,581766,21,9,asshole
9081,Spooky,642143,9,2,cute
9082,Willow,743324,19,6,asshole
9083,Snowball,594664,12,7,the best
9084,Harley,632028,2,8,asshole
9085,Fluffy,739013,10,3,fluffy
9086,Sasha,702543,17,6,amazing
9087,Ginger,688622,24,9,fat
9088,Loki,538245,8,3,fat
9089,Chloe,518952,24,2,sweetheart
9090,Zoey,523145,2,9,work of art
9091,Coco,486511,14,6,fat
9092,Fluffy,727279,23,1,fat
9093,Rocky,670778,4,5,lovely
9094,Scooter,714284,13,6,asshole
9095,Smokey,724565,9,9,fluffy
9096,Loki,688955,20,1,work of art
9097,Lucy,506876,14,2,beautiful
9098,Mimi,590699,16,7,sweetheart
9099,Scooter,509215,12,3,fat
9100,Loki,670308,15,5,sweetheart
9101,Toby,605059,13,4,amazing
9102,Bubba,644064,24,4,amazing
9103,Muffin,592054,10,6,fat
9104,Loki,585425,6,4,asshole
9105,Misty,565548,3,9,fluffy
9106,Gracie,539451,12,5,fat
9107,Annie,676152,18,6,cute
9108,Shadow,507464,25,6,lovely
9109,Salem,628706,24,5,fat
9110,Missy,464960,7,9,cute
9111,Bella,616115,24,9,the best
9112,Oliver,676081,25,8,lovely
9113,Peanut,703024,7,3,fat
9114,Mittens,708003,9,2,sweetheart
9115,Nala,679477,3,3,cute
9116,Sasha,657157,19,3,fluffy
9117,Sasha,487422,13,9,asshole
9118,Abby,638492,12,3,amazing
9119,Pepper,527577,7,7,beautiful
9120,Simon,639575,9,4,cute
9121,Sassy,696874,5,6,beautiful
9122,Sam,609728,21,4,work of art
9123,Boots,624505,19,1,asshole
9124,Baby,556456,18,3,fat
9125,Sadie,522600,21,9,the best
9126,Bubba,613495,10,6,work of art
9127,Miss kitty,592727,4,9,fluffy
9128,Simon,613575,18,8,asshole
9129,Boots,694194,25,1,lovely
9130,Bailey,671832,17,3,lovely
9131,Lucky,502794,23,4,sweetheart
9132,Shadow,634557,2,9,beautiful
9133,Buddy,462882,25,5,beautiful
9134,Spooky,522330,14,8,cute
9135,Lola,549254,4,9,fat
9136,Cali,610139,20,3,fluffy
9137,Buster,646107,5,1,amazing
9138,Boots,649124,8,3,cute
9139,Lucky,738658,4,7,fluffy
9140,Boo,679612,7,6,fat
9141,Daisy,633787,1,8,the best
9142,Lucky,582075,12,6,lovely
9143,Lucky,745090,20,7,the best
9144,Midnight,729692,24,9,the best
9145,Coco,649878,1,3,the best
9146,Whiskers,546580,16,3,asshole
9147,Kiki,627660,19,2,cute
9148,Daisy,733729,3,6,beautiful
9149,Cuddles,673036,17,9,sweetheart
9150,Dusty,558596,5,6,sweetheart
9151,Snuggles,546134,23,7,amazing
9152,Bob,587848,8,3,fluffy
9153,Annie,740844,19,3,amazing
9154,Chester,746736,11,8,sweetheart
9155,Toby,746987,1,2,beautiful
9156,Princess,494162,22,7,asshole
9157,George,567480,23,7,lovely
9158,Dusty,733938,5,9,fluffy
9159,Oreo,467723,14,8,beautiful
9160,Patches,558803,18,3,the best
9161,Ginger,655798,22,4,lovely
9162,Oreo,720088,10,9,lovely
9163,Felix,510913,20,2,amazing
9164,Boo,614246,8,7,the best
9165,Annie,602544,12,2,work of art
9166,Bella,651908,20,6,amazing
9167,Felix,607252,22,9,amazing
9168,Socks,652283,12,3,asshole
9169,Max,621772,21,6,lovely
9170,Sassy,553097,10,9,lovely
9171,Lucy,648244,15,7,work of art
9172,Fluffy,524380,23,6,beautiful
9173,Midnight,464602,8,8,fluffy
9174,Pumpkin,575921,3,8,sweetheart
9175,Boo,561180,10,1,amazing
9176,Whiskers,610269,2,7,fat
9177,Harley,702125,24,5,cute
9178,Cleo,664603,23,4,sweetheart
9179,Mittens,748091,10,3,beautiful
9180,Angel,508736,17,6,cute
9181,Dusty,520649,8,7,beautiful
9182,Snowball,587863,16,6,work of art
9183,Lucy,588306,24,6,amazing
9184,Angel,694694,5,4,amazing
9185,Dusty,555389,19,3,beautiful
9186,Scooter,737664,23,5,fat
9187,Gracie,483944,20,8,beautiful
9188,Fluffy,726694,7,1,lovely
9189,Leo,685756,20,8,cute
9190,Sheba,638712,1,1,the best
9191,Felix,675839,6,5,fluffy
9192,Muffin,556836,8,2,the best
9193,Mia,629864,12,1,beautiful
9194,Mimi,685534,18,1,the best
9195,Sammy,685348,6,2,sweetheart
